Id,Sex,Age,Industry,Constellation
1000331,female,37,,Leo
1000866,female,17,Student,Libra
1004904,male,23,Arts,Capricorn
1005076,female,25,Arts,Cancer
1005545,male,25,Engineering,Sagittarius
1007188,male,48,Religion,Libra
100812,female,26,Architecture,Aries
1008329,female,16,Student,Pisces
1009572,male,25,,Cancer
1011153,female,27,Technology,Virgo
1011289,female,25,,Libra
1011311,female,17,,Scorpio
1013637,male,17,RealEstate,Virgo
1015252,female,23,,Pisces
1015556,male,34,Technology,Virgo
1016560,male,41,Publishing,Sagittarius
1016738,male,26,Publishing,Libra
1016787,female,24,Communications-Media,Leo
1019224,female,27,RealEstate,Libra
1019622,female,24,,Aquarius
1019710,male,16,Student,Pisces
1021779,female,25,,Scorpio
1022037,male,23,,Cancer
1022086,female,17,Student,Cancer
1024234,female,17,,Libra
1025783,female,17,Student,Gemini
1026164,female,23,Education,Aries
1026443,female,15,Student,Scorpio
1028027,female,16,,Libra
1028257,male,26,Education,Aries
1029959,male,17,,Aries
1031806,male,17,Technology,Sagittarius
1032153,male,27,Technology,Pisces
1032591,female,24,Banking,Aquarius
1032824,female,15,Student,Libra
1034874,female,43,Publishing,Capricorn
1039136,male,24,Student,Capricorn
1039908,female,16,,Gemini
1040084,male,17,,Taurus
1042993,male,15,Student,Sagittarius
1043329,male,23,Government,Pisces
1043569,male,26,,Virgo
1043785,female,26,Biotech,Leo
1044338,female,23,Student,Leo
1045289,female,25,Arts,Aquarius
1045316,male,27,Non-Profit,Capricorn
1045831,male,23,Student,Libra
1046946,female,25,Arts,Virgo
1047241,male,16,,Aries
1050060,female,24,Student,Pisces
1051122,female,17,Student,Libra
1052611,male,23,Student,Aries
1054833,female,24,,Scorpio
1055228,female,16,Student,Cancer
1056232,female,17,,Aquarius
1056581,female,26,,Leo
105748,female,26,Student,Scorpio
1057539,female,33,Telecommunications,Pisces
1057945,female,26,,Leo
1058543,female,24,,Sagittarius
1060087,male,27,Arts,Leo
1060727,female,23,,Aries
106160,female,27,Student,Sagittarius
1062652,female,25,,Aries
1063313,female,16,Student,Libra
1065973,female,23,,Virgo
1066127,male,23,Technology,Taurus
106651,male,25,,Leo
1067319,male,26,Non-Profit,Aries
106738,male,25,Internet,Leo
1068622,male,24,Government,Aquarius
1068893,male,25,,Leo
1070326,male,24,Government,Aquarius
1070540,female,36,Technology,Scorpio
1073035,female,45,Education,Cancer
1074721,male,23,Student,Aquarius
1075230,male,17,Student,Cancer
1076134,female,25,Arts,Gemini
1076363,male,40,Communications-Media,Pisces
1077758,male,24,Student,Scorpio
1077954,male,26,,Gemini
1078077,female,38,Arts,Aries
1078410,male,16,,Cancer
1079521,female,24,,Capricorn
108212,female,27,Student,Taurus
1083777,male,27,Technology,Libra
1084212,female,35,,Capricorn
1084668,female,15,Student,Capricorn
1084944,female,26,Arts,Leo
1086142,female,24,Arts,Leo
1086405,male,25,Manufacturing,Taurus
1087356,female,23,,Virgo
108780,female,25,,Leo
1088145,male,26,,Capricorn
1088782,male,27,Engineering,Aquarius
1089137,female,17,,Taurus
1089661,female,26,,Libra
1089670,female,17,Student,Sagittarius
1090235,female,17,,Aquarius
1090547,male,14,Religion,Capricorn
1091067,male,24,Technology,Cancer
1091544,male,36,,Pisces
1091574,female,15,Student,Taurus
1091912,female,14,Student,Leo
