Id,Sex,Age,Industry,Constellation,sentiment,Sentiment
1000331,female,37,,Leo,0.1511298468556533,0.1511298468556533
1000866,female,17,Student,Libra,0.08734196500613853,0.08734196500613853
1004904,male,23,Arts,Capricorn,0.051704580008506,0.051704580008506
1005076,female,25,Arts,Cancer,0.016679465011728643,0.016679465011728643
1005545,male,25,Engineering,Sagittarius,0.12300046414643173,0.12300046414643173
1007188,male,48,Religion,Libra,0.1444068949932714,0.1444068949932714
100812,female,26,Architecture,Aries,0.09475312729082261,0.09475312729082261
1008329,female,16,Student,Pisces,0.036907738352679444,0.036907738352679444
1009572,male,25,,Cancer,0.08812336127677035,0.08812336127677035
1011153,female,27,Technology,Virgo,0.02076879199780319,0.02076879199780319
1011289,female,25,,Libra,0.03844634099274738,0.03844634099274738
1011311,female,17,,Scorpio,0.08804211389756937,0.08804211389756937
1013637,male,17,RealEstate,Virgo,0.09018712813862309,0.09018712813862309
1015252,female,23,,Pisces,0.032504845764162876,0.032504845764162876
1015556,male,34,Technology,Virgo,0.12475471625485393,0.12475471625485393
1016560,male,41,Publishing,Sagittarius,0.1782474151072941,0.1782474151072941
1016738,male,26,Publishing,Libra,0.11010355059887054,0.11010355059887054
1016787,female,24,Communications-Media,Leo,0.15173469387755104,0.15173469387755104
1019224,female,27,RealEstate,Libra,-0.0029308146876709023,-0.0029308146876709023
1019622,female,24,,Aquarius,0.05034317473030979,0.05034317473030979
1019710,male,16,Student,Pisces,0.0852229071042236,0.0852229071042236
1021779,female,25,,Scorpio,0.07850508763533111,0.07850508763533111
1022037,male,23,,Cancer,0.06696273275172243,0.06696273275172243
1022086,female,17,Student,Cancer,0.06787554825515028,0.06787554825515028
1024234,female,17,,Libra,0.07409354097279768,0.07409354097279768
1025783,female,17,Student,Gemini,0.011868460207685661,0.011868460207685661
1026164,female,23,Education,Aries,0.1138627597369113,0.1138627597369113
1026443,female,15,Student,Scorpio,0.06919149477973008,0.06919149477973008
1028027,female,16,,Libra,0.11429610417169364,0.11429610417169364
1028257,male,26,Education,Aries,0.12062470530252219,0.12062470530252219
1029959,male,17,,Aries,0.04651763150506967,0.04651763150506967
1031806,male,17,Technology,Sagittarius,0.08148802605933084,0.08148802605933084
1032153,male,27,Technology,Pisces,0.08636640041376827,0.08636640041376827
1032591,female,24,Banking,Aquarius,0.047509252854783086,0.047509252854783086
1032824,female,15,Student,Libra,0.09725656485764618,0.09725656485764618
1034874,female,43,Publishing,Capricorn,0.031742292316504994,0.031742292316504994
1039136,male,24,Student,Capricorn,0.09465661489454844,0.09465661489454844
1039908,female,16,,Gemini,0.042198106953628044,0.042198106953628044
1040084,male,17,,Taurus,0.08605485352113622,0.08605485352113622
1042993,male,15,Student,Sagittarius,0.0710692260367816,0.0710692260367816
1043329,male,23,Government,Pisces,0.1268569205124723,0.1268569205124723
1043569,male,26,,Virgo,0.1107336220329173,0.1107336220329173
1043785,female,26,Biotech,Leo,0.046359635394561866,0.046359635394561866
1044338,female,23,Student,Leo,0.08249156569147158,0.08249156569147158
1045289,female,25,Arts,Aquarius,0.05160699838237372,0.05160699838237372
1045316,male,27,Non-Profit,Capricorn,0.07542469920768533,0.07542469920768533
1045831,male,23,Student,Libra,0.09126130496317536,0.09126130496317536
1046946,female,25,Arts,Virgo,,0.05172987944990757
1047241,male,16,,Aries,,0.046473227689624017
1050060,female,24,Student,Pisces,,0.10599264144965005
